###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
IMG_3050.jpg		no	0:00	0:05	0.000	5.000	5.000	Wannejoch und Iseler	TannHeimer Tal	Schattwald	11.3.73 (So) 8:30		
IMG_3051.jpg		no	0:05	0:10	5.000	10.000	5.000	Wannejoch und Iseler	TannHeimer Tal	Schattwald	11.3.73 (So) 9:00		
IMG_3052.jpg		no	0:10	0:15	10.000	15.000	5.000	Wannejoch und Iseler	TannHeimer Tal	Schattwald	11.3.73 (So) 9:30		
IMG_3053.jpg		no	0:15	0:20	15.000	20.000	5.000	Wannejoch und Iseler	TannHeimer Tal	Schattwald	11.3.73 (So) 10:00		
IMG_3054.jpg		no	0:20	0:25	20.000	25.000	5.000	Wannejoch und Iseler	TannHeimer Tal	Schattwald	11.3.73 (So) 10:01		
IMG_3055.jpg		no	0:25	0:30	25.000	30.000	5.000	Wannejoch und Iseler	TannHeimer Tal	Schattwald	11.3.73 (So) 10:02		
IMG_3056.jpg		no	0:30	0:35	30.000	35.000	5.000	Wannejoch und Iseler	TannHeimer Tal	Schattwald	11.3.73 (So) 10:03		
IMG_3057.jpg		no	0:35	0:40	35.000	40.000	5.000	Wannejoch und Iseler	TannHeimer Tal	Schattwald	11.3.73 (So) 10:40		
IMG_3058.jpg		no	0:40	0:45	40.000	45.000	5.000	Wannejoch und Iseler	TannHeimer Tal	Schattwald	11.3.73 (So) 11:00		
IMG_3059.jpg		no	0:45	0:50	45.000	50.000	5.000	Wannejoch und Iseler	TannHeimer Tal	Schattwald	11.3.73 (So) 11:05		
IMG_3060.jpg		no	0:50	0:55	50.000	55.000	5.000	Wannejoch und Iseler	TannHeimer Tal	Schattwald	11.3.73 (So) 11:15		
IMG_3061.jpg		no	0:55	1:00	55.000	60.000	5.000	Wannejoch und Iseler	TannHeimer Tal	Schattwald	11.3.73 (So) 11:30		
IMG_3062.jpg		no	1:00	1:05	60.000	65.000	5.000	Wannejoch und Iseler	TannHeimer Tal	Schattwald	11.3.73 (So) 11:50		
IMG_3063.jpg		no	1:05	1:10	65.000	70.000	5.000	Wannejoch und Iseler	TannHeimer Tal	Schattwald	11.3.73 (So) 12:20		
IMG_3064.jpg		no	1:10	1:15	70.000	75.000	5.000	Wannejoch und Iseler	TannHeimer Tal	Schattwald	11.3.73 (So) 12:25		
IMG_3065.jpg		no	1:15	1:20	75.000	80.000	5.000	Wannejoch und Iseler	TannHeimer Tal	Schattwald	11.3.73 (So) 12:30		
IMG_3066.jpg		no	1:20	1:25	80.000	85.000	5.000	Wannejoch und Iseler	TannHeimer Tal	Schattwald	11.3.73 (So) 13:30		
