###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
FwUy_A1_6074.jpg		no	0:00	0:05	0.000	5.000	5.000	Katzen			1.7.82 (Do) 8:00		
FzMe_A1_6075.jpg		no	0:05	0:10	5.000	10.000	5.000	Katzen			1.7.82 (Do) 8:30		
GcDk_A1_6076.jpg		no	0:10	0:15	10.000	15.000	5.000	Katzen			1.7.82 (Do) 9:00		
GeUq_A1_8245.jpg		no	0:15	0:20	15.000	20.000	5.000	Katzen			1.7.82 (Do) 9:30		
GhLw_A1_8246.jpg		no	0:20	0:25	20.000	25.000	5.000	Katzen			1.7.82 (Do) 10:00		
GkDc_A1_8247.jpg		no	0:25	0:30	25.000	30.000	5.000	Katzen			1.7.82 (Do) 10:30		
GmUi_A1_8248.jpg		no	0:30	0:35	30.000	35.000	5.000	Katzen			1.7.82 (Do) 11:00		
GpLo_A1_8249.jpg		no	0:35	0:40	35.000	40.000	5.000	Katzen			1.7.82 (Do) 11:30		
GsCu_A1_8251.jpg		no	0:40	0:45	40.000	45.000	5.000	Katzen			1.7.82 (Do) 12:00		
GuUa_A1_8252.jpg		no	0:45	0:50	45.000	50.000	5.000	Katzen			1.7.82 (Do) 12:30		
GxLg_A1_8253.jpg		no	0:50	0:55	50.000	55.000	5.000	Katzen			1.7.82 (Do) 13:00		
HaCm_A1_8254.jpg		no	0:55	1:00	55.000	60.000	5.000	Katzen			1.7.82 (Do) 13:30		
HcTs_A1_0382.jpg		no	1:00	1:05	60.000	65.000	5.000	Katzen			1.7.82 (Do) 14:00		
