###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
IMG_3415.jpg		no	0:00	0:05	0.000	5.000	5.000	Edelsberg			16.3.75 (So) 12:00		
IMG_3416.jpg		no	0:05	0:10	5.000	10.000	5.000	Edelsberg			16.3.75 (So) 12:00		
IMG_3417.jpg		no	0:10	0:15	10.000	15.000	5.000	Edelsberg			16.3.75 (So) 12:00		
IMG_3418.jpg		no	0:15	0:20	15.000	20.000	5.000	Edelsberg			16.3.75 (So) 12:00		
IMG_3419.jpg		no	0:20	0:25	20.000	25.000	5.000	Edelsberg			16.3.75 (So) 12:00		
IMG_3420.jpg		no	0:25	0:30	25.000	30.000	5.000	Edelsberg			16.3.75 (So) 12:00		
IMG_3421.jpg		no	0:30	0:35	30.000	35.000	5.000	Edelsberg			16.3.75 (So) 12:00		
IMG_3422.jpg		no	0:35	0:40	35.000	40.000	5.000	Edelsberg			16.3.75 (So) 12:00		
IMG_3423.jpg		no	0:40	0:45	40.000	45.000	5.000	Edelsberg			16.3.75 (So) 12:00		
IMG_3424.jpg		no	0:45	0:50	45.000	50.000	5.000	Edelsberg			16.3.75 (So) 12:00		
IMG_3425.jpg		no	0:50	0:55	50.000	55.000	5.000	Edelsberg			16.3.75 (So) 12:00		
IMG_3426.jpg		no	0:55	1:00	55.000	60.000	5.000	Edelsberg			16.3.75 (So) 12:00		
IMG_3427.jpg		no	1:00	1:05	60.000	65.000	5.000	Edelsberg			16.3.75 (So) 12:00		
IMG_3428.jpg		no	1:05	1:10	65.000	70.000	5.000	Edelsberg			16.3.75 (So) 12:00		
IMG_3429.jpg		no	1:10	1:15	70.000	75.000	5.000	Edelsberg			16.3.75 (So) 12:00		
IMG_3430.jpg		no	1:15	1:20	75.000	80.000	5.000	Edelsberg			16.3.75 (So) 12:00		
IMG_3431.jpg		no	1:20	1:25	80.000	85.000	5.000	Edelsberg			16.3.75 (So) 12:00		
