###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_IMG_8141.jpg		no	0:00	0:05	0.000	5.000	5.000	Bundesgartenschau München			15.9.83 (Do) 12:00		
IMG_8135.jpg		no	0:05	0:10	5.000	10.000	5.000	Bundesgartenschau München			15.9.83 (Do) 12:00		
IMG_8136.jpg		no	0:10	0:15	10.000	15.000	5.000	Bundesgartenschau München			15.9.83 (Do) 12:00		
IMG_8137.jpg		no	0:15	0:20	15.000	20.000	5.000	Bundesgartenschau München			15.9.83 (Do) 12:00		
IMG_8138.jpg		no	0:20	0:25	20.000	25.000	5.000	Bundesgartenschau München			15.9.83 (Do) 12:00		
IMG_8139.jpg		no	0:25	0:30	25.000	30.000	5.000	Bundesgartenschau München			15.9.83 (Do) 12:00		
IMG_8140.jpg		no	0:30	0:35	30.000	35.000	5.000	Bundesgartenschau München			15.9.83 (Do) 12:00		
IMG_8141.jpg		no	0:35	0:40	35.000	40.000	5.000	Bundesgartenschau München			15.9.83 (Do) 12:00		
IMG_8142.jpg		no	0:40	0:45	40.000	45.000	5.000	Bundesgartenschau München			15.9.83 (Do) 12:00		
IMG_8143.jpg		no	0:45	0:50	45.000	50.000	5.000	Bundesgartenschau München			15.9.83 (Do) 12:00		
IMG_8144.jpg		no	0:50	0:55	50.000	55.000	5.000	Bundesgartenschau München			15.9.83 (Do) 12:00		
IMG_8145.jpg		no	0:55	1:00	55.000	60.000	5.000	Bundesgartenschau München			15.9.83 (Do) 12:00		
IMG_8146.jpg		no	1:00	1:05	60.000	65.000	5.000	Bundesgartenschau München			15.9.83 (Do) 12:00		
IMG_8147.jpg		no	1:05	1:10	65.000	70.000	5.000	Bundesgartenschau München			15.9.83 (Do) 12:00		
