###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
EbG_iPhSE_0960.jpg		no	0:00	0:05	0.000	5.000	5.000	Residenz München			13.12.18 (Do) 12:00		
EbG_iPhSE_0961.jpg		no	0:05	0:10	5.000	10.000	5.000	Residenz München			13.12.18 (Do) 12:00		
EbG_iPhSE_0962.jpg		no	0:10	0:15	10.000	15.000	5.000	Residenz München			13.12.18 (Do) 12:00		
EbG_iPhSE_0963.jpg		no	0:15	0:20	15.000	20.000	5.000	Residenz München			13.12.18 (Do) 12:00		
EbG_iPhSE_0964.jpg		no	0:20	0:25	20.000	25.000	5.000	Residenz München			13.12.18 (Do) 12:00		
EbG_iPhSE_0965.jpg		no	0:25	0:30	25.000	30.000	5.000	Residenz München			13.12.18 (Do) 12:00		
GuY_iPhSE_0939.jpg		no	0:30	0:35	30.000	35.000	5.000	Residenz München			13.12.18 (Do) 12:31		
JuZ_iPhSE_0938.jpg		no	0:35	0:40	35.000	40.000	5.000	Residenz München			13.12.18 (Do) 13:04		
NzN_iPhSE_0937.jpg		no	0:40	0:45	40.000	45.000	5.000	Residenz München			13.12.18 (Do) 13:51		
RjZ_iPhSE_0935.jpg		no	0:45	0:50	45.000	50.000	5.000	Residenz München			13.12.18 (Do) 14:30		
VeR_iPhSE_0936.jpg		no	0:50	0:55	50.000	55.000	5.000	Residenz München			13.12.18 (Do) 15:13		
