###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
iPh5s_00_0133.jpg		no	0:00	0:05	0.000	5.000	5.000	Hahnenkamm			11.3.14 (Di) 6:33		
iPh5s_00_0144.jpg		no	0:05	0:10	5.000	10.000	5.000	Hahnenkamm			11.3.14 (Di) 6:34		
iPh5s_00_0148.jpg		no	0:10	0:15	10.000	15.000	5.000	Hahnenkamm			11.3.14 (Di) 14:41		
iPh5s_00_0150.jpg		no	0:15	0:20	15.000	20.000	5.000	Hahnenkamm			11.3.14 (Di) 14:42		
iPh5s_00_0152.jpg		no	0:20	0:25	20.000	25.000	5.000	Hahnenkamm			11.3.14 (Di) 14:42		
iPh5s_00_0156.jpg		no	0:25	0:30	25.000	30.000	5.000	Hahnenkamm			11.3.14 (Di) 14:43		
iPh5s_00_0162.jpg		no	0:30	0:35	30.000	35.000	5.000	Hahnenkamm			11.3.14 (Di) 14:43		
iPh5s_00_0164.jpg		no	0:35	0:40	35.000	40.000	5.000	Hahnenkamm			11.3.14 (Di) 15:00		
iPh5s_00_0166.jpg		no	0:40	0:45	40.000	45.000	5.000	Hahnenkamm			11.3.14 (Di) 15:00		
iPh5s_00_0171.jpg		no	0:45	0:50	45.000	50.000	5.000	Hahnenkamm			11.3.14 (Di) 15:01		
