###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
IMG_3008.jpg		no	0:00	0:05	0.000	5.000	5.000	Parzinnspitze			30.1.75 (Do) 12:00		
IMG_3009.jpg		no	0:05	0:10	5.000	10.000	5.000	Parzinnspitze			30.1.75 (Do) 12:00		
IMG_3010.jpg		no	0:10	0:15	10.000	15.000	5.000	Parzinnspitze			30.1.75 (Do) 12:00		
IMG_3011.jpg		no	0:15	0:20	15.000	20.000	5.000	Parzinnspitze			30.1.75 (Do) 12:00		
IMG_3012.jpg		no	0:20	0:25	20.000	25.000	5.000	Parzinnspitze			30.1.75 (Do) 12:00		
IMG_3013.jpg		no	0:25	0:30	25.000	30.000	5.000	Parzinnspitze			30.1.75 (Do) 12:00		
IMG_3014.jpg		no	0:30	0:35	30.000	35.000	5.000	Parzinnspitze			30.1.75 (Do) 12:00		
IMG_3015.jpg		no	0:35	0:40	35.000	40.000	5.000	Parzinnspitze			30.1.75 (Do) 12:00		
IMG_3016.jpg		no	0:40	0:45	40.000	45.000	5.000	Parzinnspitze			30.1.75 (Do) 12:00		
IMG_3017.jpg		no	0:45	0:50	45.000	50.000	5.000	Parzinnspitze			30.1.75 (Do) 12:00		
IMG_3018.jpg		no	0:50	0:55	50.000	55.000	5.000	Parzinnspitze			30.1.75 (Do) 12:00		
IMG_3019.jpg		no	0:55	1:00	55.000	60.000	5.000	Parzinnspitze			30.1.75 (Do) 12:00		
IMG_3020.jpg		no	1:00	1:05	60.000	65.000	5.000	Parzinnspitze			30.1.75 (Do) 12:00		
IMG_3021.jpg		no	1:05	1:10	65.000	70.000	5.000	Parzinnspitze			30.1.75 (Do) 12:00		
IMG_3022.jpg		no	1:10	1:15	70.000	75.000	5.000	Parzinnspitze			30.1.75 (Do) 12:00		
IMG_3023.jpg		no	1:15	1:20	75.000	80.000	5.000	Parzinnspitze			30.1.75 (Do) 12:00		
IMG_3024.jpg		no	1:20	1:25	80.000	85.000	5.000	Parzinnspitze			30.1.75 (Do) 12:00		
