###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
IMG_4530.jpg		no	0:00	0:05	0.000	5.000	5.000	Falkenstein			15.11.78 (Mi) 12:00		
IMG_4531.jpg		no	0:05	0:10	5.000	10.000	5.000	Falkenstein			15.11.78 (Mi) 12:00		
IMG_4532.jpg		no	0:10	0:15	10.000	15.000	5.000	Falkenstein			15.11.78 (Mi) 12:00		
IMG_4533.jpg		no	0:15	0:20	15.000	20.000	5.000	Falkenstein			15.11.78 (Mi) 12:00		
IMG_4534.jpg		no	0:20	0:25	20.000	25.000	5.000	Falkenstein			15.11.78 (Mi) 12:00		
IMG_4535.jpg		no	0:25	0:30	25.000	30.000	5.000	Falkenstein			15.11.78 (Mi) 12:00		
IMG_4536.jpg		no	0:30	0:35	30.000	35.000	5.000	Falkenstein			15.11.78 (Mi) 12:00		
IMG_4537.jpg		no	0:35	0:40	35.000	40.000	5.000	Falkenstein			15.11.78 (Mi) 12:00		
IMG_9573.jpg		no	0:40	0:45	40.000	45.000	5.000	Falkenstein			15.11.78 (Mi) 12:00		
IMG_9574.jpg		no	0:45	0:50	45.000	50.000	5.000	Falkenstein			15.11.78 (Mi) 12:00		
