###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
000_IMG_3089.jpg		no	0:00	0:05	0.000	5.000	5.000	Aufstieg zum Brentenjoch über Vilser Alp	Vils	BrentenJoch	25.3.73 (So) 9:40		
IMG_3084.jpg		no	0:05	0:10	5.000	10.000	5.000	Aufstieg zum Brentenjoch über Vilser Alp	Vils	Vilser Alp	30.3.73 (Fr) 8:30		
IMG_3085.jpg		no	0:10	0:15	10.000	15.000	5.000	Aufstieg zum Brentenjoch über Vilser Alp	Vils	Vilser Alp	25.3.73 (So) 8:40		
IMG_3086.jpg		no	0:15	0:20	15.000	20.000	5.000	Aufstieg zum Brentenjoch über Vilser Alp	Vils	Vilser Alp	25.3.73 (So) 9:00		
IMG_3087.jpg		no	0:20	0:25	20.000	25.000	5.000	Aufstieg zum Brentenjoch über Vilser Alp	Vils	Vilser Alp	25.3.73 (So) 9:05		
IMG_3088.jpg		no	0:25	0:30	25.000	30.000	5.000	Aufstieg zum Brentenjoch über Vilser Alp	Vils	Vilser Alp	25.3.73 (So) 9:10		
IMG_3089.jpg		no	0:30	0:35	30.000	35.000	5.000	Aufstieg zum Brentenjoch über Vilser Alp	Vils	BrentenJoch	25.3.73 (So) 9:40		
IMG_3090.jpg		no	0:35	0:40	35.000	40.000	5.000	Aufstieg zum Brentenjoch über Vilser Alp	Vils	BrentenJoch	25.3.73 (So) 9:50		
IMG_3091.jpg		no	0:40	0:45	40.000	45.000	5.000	Aufstieg zum Brentenjoch über Vilser Alp	Vils	BrentenJoch	25.3.73 (So) 10:00		
IMG_3092.jpg		no	0:45	0:50	45.000	50.000	5.000	Aufstieg zum Brentenjoch über Vilser Alp	Vils	BrentenJoch	25.3.73 (So) 10:30		
IMG_3093.jpg		no	0:50	0:55	50.000	55.000	5.000	Aufstieg zum Brentenjoch über Vilser Alp	Vils	BrentenJoch	25.3.73 (So) 10:40		
IMG_3094.jpg		no	0:55	1:00	55.000	60.000	5.000	Auf dem Brentenjoch	Vils	BrentenJoch	25.3.73 (So) 11:00		
IMG_3095.jpg		no	1:00	1:05	60.000	65.000	5.000	Auf dem Brentenjoch	Vils	BrentenJoch	25.3.73 (So) 11:05		
IMG_3096.jpg		no	1:05	1:10	65.000	70.000	5.000	Fridolin auf der Abfahrt vom Brentenjoch	Vils	BrentenJoch	25.3.73 (So) 11:30		
IMG_3097.jpg		no	1:10	1:15	70.000	75.000	5.000	Abfahrt vom Brentenjoch	Vils	Vilser Alp	25.3.73 (So) 11:40		
IMG_3098.jpg		no	1:15	1:20	75.000	80.000	5.000	Ende der Abfahrt vom Brentenjoch	Vils	Vilser Alp	25.3.73 (So) 11:50		
IMG_3099.jpg		no	1:20	1:25	80.000	85.000	5.000	Herr Feneberg auf der Vilser Alp	Vils	Vilser Alp	25.3.73 (So) 12:00		
