###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
IyZyM_iPhSE_0940.jpg		no	0:00	0:05	0.000	5.000	5.000	Neue Pinakothek			3.12.18 (Mo) 12:00		
IyZyM_iPhSE_0944.jpg		no	0:05	0:10	5.000	10.000	5.000	Neue Pinakothek			3.12.18 (Mo) 12:00		
IyZyM_iPhSE_0946.jpg		no	0:10	0:15	10.000	15.000	5.000	Neue Pinakothek			3.12.18 (Mo) 12:00		
IyZyM_iPhSE_0947.jpg		no	0:15	0:20	15.000	20.000	5.000	Neue Pinakothek			3.12.18 (Mo) 12:00		
IyZyM_iPhSE_0952.jpg		no	0:20	0:25	20.000	25.000	5.000	Neue Pinakothek			3.12.18 (Mo) 12:00		
IyZyM_iPhSE_0954.jpg		no	0:25	0:30	25.000	30.000	5.000	Neue Pinakothek			3.12.18 (Mo) 12:00		
IzApE_iPhSE_0941.jpg		no	0:30	0:35	30.000	35.000	5.000	Neue Pinakothek			3.12.18 (Mo) 12:07		
IzAwT_iPhSE_0942.jpg		no	0:35	0:40	35.000	40.000	5.000	Neue Pinakothek			3.12.18 (Mo) 12:10		
IzAyL_iPhSE_0943.jpg		no	0:40	0:45	40.000	45.000	5.000	Neue Pinakothek			3.12.18 (Mo) 12:11		
IzBxX_iPhSE_0945.jpg		no	0:45	0:50	45.000	50.000	5.000	Neue Pinakothek			3.12.18 (Mo) 12:22		
IzDiE_iPhSE_0948.jpg		no	0:50	0:55	50.000	55.000	5.000	Neue Pinakothek			3.12.18 (Mo) 12:38		
IzDoH_iPhSE_0949.jpg		no	0:55	1:00	55.000	60.000	5.000	Neue Pinakothek			3.12.18 (Mo) 12:40		
IzDzY_iPhSE_0950.jpg		no	1:00	1:05	60.000	65.000	5.000	Neue Pinakothek			3.12.18 (Mo) 12:45		
IzEcL_iPhSE_0951.jpg		no	1:05	1:10	65.000	70.000	5.000	Neue Pinakothek			3.12.18 (Mo) 12:46		
IzEyG_iPhSE_0953.jpg		no	1:10	1:15	70.000	75.000	5.000	Neue Pinakothek			3.12.18 (Mo) 12:56		
IzFpL_iPhSE_0955.jpg		no	1:15	1:20	75.000	80.000	5.000	Neue Pinakothek			3.12.18 (Mo) 13:03		
IzGaK_iPhSE_0956.jpg		no	1:20	1:25	80.000	85.000	5.000	Neue Pinakothek			3.12.18 (Mo) 13:08		
IzQsA_iPhSE_0925.jpg		no	1:25	1:30	85.000	90.000	5.000	Neue Pinakothek			3.12.18 (Mo) 15:08		
KwFjO_iPhSE_0957.jpg		no	1:30	1:35	90.000	95.000	5.000	Neue Pinakothek			13.12.18 (Do) 12:14		
KwFsM_iPhSE_0958.jpg		no	1:35	1:40	95.000	100.000	5.000	Neue Pinakothek			13.12.18 (Do) 12:18		
