###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
EzWcWxC_Unbek_9000.jpg		no	0:00	0:05	0.000	5.000	5.000	Schöne Bilder			1.1.18 (Mo) 12:00		
EzXqAyS_iPh5s_3613.jpg		no	0:05	0:10	5.000	10.000	5.000	Schöne Bilder			9.1.18 (Di) 11:10		
FaDmEkE_iPh5s_3627.jpg		no	0:10	0:15	10.000	15.000	5.000	Schöne Bilder			9.2.18 (Fr) 9:54		
FaDmJuS_iPhSE_6019.jpg		no	0:15	0:20	15.000	20.000	5.000	Schöne Bilder			9.2.18 (Fr) 10:55		
FaGiXfT_iPhSE_0032.jpg		no	0:20	0:25	20.000	25.000	5.000	Schöne Bilder			24.2.18 (Sa) 14:44		
FaKwYcM_Unbek_0801.jpg		no	0:25	0:30	25.000	30.000	5.000	Schöne Bilder			17.3.18 (Sa) 15:00		
FaKwYeU_Unbek_0802.jpg		no	0:30	0:35	30.000	35.000	5.000	Schöne Bilder			17.3.18 (Sa) 15:01		
FaOgCwN_iPhSE_0101.jpg		no	0:35	0:40	35.000	40.000	5.000	Schöne Bilder			4.4.18 (Mi) 9:38		
FbFqIxD_iPhSE_0423.jpg		no	0:40	0:45	40.000	45.000	5.000	Schöne Bilder			3.7.18 (Di) 9:32		
FbOeQgS_iPhSE_0510.jpg		no	0:45	0:50	45.000	50.000	5.000	Schöne Bilder			17.8.18 (Fr) 14:46		
FbPbWeZ_iPhSE_0511.jpg		no	0:50	0:55	50.000	55.000	5.000	Schöne Bilder			22.8.18 (Mi) 8:11		
