###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
IbMrW_B35_5862.jpg		no	0:00	0:05	0.000	5.000	5.000	Am Refuge Cezanne, Ausgangspunkt für die Barre des Escrins	Ailefroide	Barre des Escrins	29.8.75 (Fr) 8:30		
IbPjC_B35_5865.jpg		no	0:05	0:10	5.000	10.000	5.000	Am Refuge Cezanne, Ausgangspunkt für die Barre des Escrins	Ailefroide	Barre des Escrins	29.8.75 (Fr) 9:00		
IbSaI_B35_5868.jpg		no	0:10	0:15	10.000	15.000	5.000	Aufstieg zum Refuge Glacier Blanc	Ailefroide	Barre des Escrins	29.8.75 (Fr) 9:30		
IbUrO_B35_5871.jpg		no	0:15	0:20	15.000	20.000	5.000	Aufstieg zum Refuge Glacier Blanc	Ailefroide	Barre des Escrins	29.8.75 (Fr) 10:00		
IbXiU_B35_5873.jpg		no	0:20	0:25	20.000	25.000	5.000	Aufstieg zum Refuge Glacier Blanc, Blick zum Mont Pelvoux	Ailefroide	Barre des Escrins	29.8.75 (Fr) 10:30		
IcAaA_B35_5878.jpg		no	0:25	0:30	25.000	30.000	5.000	Aufstieg zum Refuge Glacier Blanc	Ailefroide	Barre des Escrins	29.8.75 (Fr) 11:00		
IcCrG_B35_5881.jpg		no	0:30	0:35	30.000	35.000	5.000	Aufstieg zum Refuge Glacier Blanc, Blick zum Mont Pelvoux	Ailefroide	Barre des Escrins	29.8.75 (Fr) 11:30		
IcFiM_B35_5882.jpg		no	0:35	0:40	35.000	40.000	5.000	Die Refuge Glacier Blanc am Aufstieg zur Barre des Escrins	Ailefroide	Barre des Escrins	29.8.75 (Fr) 12:00		
IcHzS_B35_5885.jpg		no	0:40	0:45	40.000	45.000	5.000	Von der Refuge Glacier Blanc zur Refuge Escrins	Ailefroide	Barre des Escrins	29.8.75 (Fr) 12:30		
IdFyU_B35_5888.jpg		no	0:45	0:50	45.000	50.000	5.000	Das Couloir de Barre Noire (Steigung 45-50 Grad)	Ailefroide	Barre des Escrins	29.8.75 (Fr) 17:00		
IdGkI_B35_5893.jpg		no	0:50	0:55	50.000	55.000	5.000	Am Couloir de Barre Noire (Steigung 45-50 Grad)	Ailefroide	Barre des Escrins	29.8.75 (Fr) 17:05		
IdTgY_B35_5897.jpg		no	0:55	1:00	55.000	60.000	5.000	Die Barre des Escrins von Nordosten	Ailefroide	Barre des Escrins	29.8.75 (Fr) 19:30		
IfHmI_WebDl_9005.jpg		no	1:00	1:05	60.000	65.000	5.000	Die Barre des Escrins von Nordosten	Ailefroide	Barre des Escrins	30.8.75 (Sa) 3:03		
IfHoQ_WebDl_9006.jpg		no	1:05	1:10	65.000	70.000	5.000	Die Barre des Escrins von Nordosten	Ailefroide	Barre des Escrins	30.8.75 (Sa) 3:04		
IfHqY_WebDl_9007.jpg		no	1:10	1:15	70.000	75.000	5.000	Die Barre des Escrins von Nordosten	Ailefroide	Barre des Escrins	30.8.75 (Sa) 3:05		
IfMuU_WebDl_9011.jpg		no	1:15	1:20	75.000	80.000	5.000	Das Couloir de Barre Noire (Steigung 45-50 Grad)	Ailefroide	Barre des Escrins	30.8.75 (Sa) 4:03		
IfMxC_WebDl_9012.jpg		no	1:20	1:25	80.000	85.000	5.000	Das Couloir de Barre Noire (Steigung 45-50 Grad)	Ailefroide	Barre des Escrins	30.8.75 (Sa) 4:04		
IfMzK_WebDl_9013.jpg		no	1:25	1:30	85.000	90.000	5.000	Die Barre des Escrins von Nordosten	Ailefroide	Barre des Escrins	30.8.75 (Sa) 4:05		
IfRwI_WebDl_9014.jpg		no	1:30	1:35	90.000	95.000	5.000	Im Couloir de Barre Noire (Steigung 45-50 Grad)	Ailefroide	Barre des Escrins	30.8.75 (Sa) 5:00		
IfRwI_WebDl_9015.jpg		no	1:35	1:40	95.000	100.000	5.000	Im Couloir de Barre Noire (Steigung 45-50 Grad)	Ailefroide	Barre des Escrins	30.8.75 (Sa) 5:00		
IfUnO_B35_5902.jpg		no	1:40	1:45	100.000	105.000	5.000	Am Ostgrat der Barre des Escrins	Ailefroide	Barre des Escrins	30.8.75 (Sa) 5:30		
IfUzC_B35_5905.jpg		no	1:45	1:50	105.000	110.000	5.000	Am Ostgrat der Barre des Escrins	Ailefroide	Barre des Escrins	30.8.75 (Sa) 5:35		
IfVkQ_B35_5906.jpg		no	1:50	1:55	110.000	115.000	5.000	Am Ostgrat der Barre des Escrins	Ailefroide	Barre des Escrins	30.8.75 (Sa) 5:40		
IfVwE_B35_5909.jpg		no	1:55	2:00	115.000	120.000	5.000	Am Ostgrat der Barre des Escrins	Ailefroide	Barre des Escrins	30.8.75 (Sa) 5:45		
IgFeM_B35_5912.jpg		no	2:00	2:05	120.000	125.000	5.000	Am Ostgrat der Barre des Escrins	Ailefroide	Barre des Escrins	30.8.75 (Sa) 7:30		
IgXvC_WebDl_9018.jpg		no	2:05	2:10	125.000	130.000	5.000	Die Barre des Escrins von Nordwesten	Ailefroide	Barre des Escrins	30.8.75 (Sa) 11:00		
IhPdC_WebDl_9021.mp4		no	2:10	6:41	130.000	400.537	270.537	Überschreitung der Barre des Escrins über das Couloir de Barre Noire	Ailefroide	Barre des Escrins	30.8.75 (Sa) 14:15		
IhQlS_WebDl_9020.mp4		no	6:41	10:21	400.537	620.824	220.287	Überschreitung der Barre des Escrins über das Couloir de Barre Noire	Ailefroide	Barre des Escrins	30.8.75 (Sa) 14:30		
IlFqU_B35_5916.jpg		no	10:21	10:26	620.824	625.824	5.000	Am Refuge Cezanne, Ausgangspunkt für die Barre des Escrins	Ailefroide	Barre des Escrins	31.8.75 (So) 8:00		
IlKzG_B35_5918.jpg		no	10:26	10:31	625.824	630.824	5.000	Am Refuge Cezanne, Ausgangspunkt für die Barre des Escrins	Ailefroide	Barre des Escrins	31.8.75 (So) 9:00		
IlQhS_B35_5921.jpg		no	10:31	10:36	630.824	635.824	5.000	Im Ailefroide, Ausgangspunkt zur Besteigung des Mont Pelvoux	Ailefroide	Barre des Escrins	31.8.75 (So) 10:00		
IlVqE_B35_5924.jpg		no	10:36	10:41	635.824	640.824	5.000	Das Refuge du Pelvoux	Ailefroide	Pelvoux	31.8.75 (So) 11:00		
IqDlW_B35_5927.jpg		no	10:41	10:46	640.824	645.824	5.000	Abstieg vom Refuge du Pelvoux	Ailefroide	Pelvoux	1.9.75 (Mo) 8:00		
IqOcU_B35_5933.jpg		no	10:46	10:51	645.824	650.824	5.000	Abstieg vom Refuge du Pelvoux	Ailefroide	Pelvoux	1.9.75 (Mo) 10:00		
IqTlG_B35_5936.jpg		no	10:51	10:56	650.824	655.824	5.000	Im Ailefroide, Ausgangspunkt zur Besteigung des Mont Pelvoux	Ailefroide	Pelvoux	1.9.75 (Mo) 11:00		
IqYtS_B35_5939.jpg		no	10:56	11:01	655.824	660.824	5.000	Fahrt durch die Südalpen nach Marseille	Savines-le-Lac		1.9.75 (Mo) 12:00		
IrEcE_B35_5942.jpg		no	11:01	11:06	660.824	665.824	5.000	Fahrt durch die Südalpen nach Marseille	Savines-le-Lac		1.9.75 (Mo) 13:00		
IrOtC_B35_5948.jpg		no	11:06	11:11	665.824	670.824	5.000	In Marseille an der Ile Mairie	Marseille	Les Goudes	1.9.75 (Mo) 15:00		
IrUbO_B35_5951.jpg		no	11:11	11:16	670.824	675.824	5.000	In Marseille an der Ile Mairie	Marseille	Les Goudes	1.9.75 (Mo) 16:00		
IvBgY_B35_5957.jpg		no	11:16	11:21	675.824	680.824	5.000	In Marseille an der Ile Mairie	Marseille	Les Goudes	2.9.75 (Di) 8:00		
IvGpK_B35_5960.jpg		no	11:21	11:26	680.824	685.824	5.000	In Marseille an der Ile Mairie	Marseille	Les Goudes	2.9.75 (Di) 9:00		
IvLxW_B35_5963.jpg		no	11:26	11:31	685.824	690.824	5.000	In Marseille an der Ile Mairie	Marseille	Les Goudes	2.9.75 (Di) 10:00		
IvRgI_B35_5966.jpg		no	11:31	11:36	690.824	695.824	5.000	Die Ile Mairie nahe Marseille	Marseille	Les Goudes	2.9.75 (Di) 11:00		
IvWoU_B35_5969.jpg		no	11:36	11:41	695.824	700.824	5.000	In Marseille an der Ile Mairie	Marseille	Les Goudes	2.9.75 (Di) 12:00		
IzZcA_B35_5972.jpg		no	11:41	11:46	700.824	705.824	5.000	In Marseille an der Ile Mairie	Marseille	Les Goudes	3.9.75 (Mi) 8:00		
JaEkM_B35_5975.jpg		no	11:46	11:51	705.824	710.824	5.000	Auf der Rückfahrt durch Genf	Genf		3.9.75 (Mi) 9:00		
