###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
000_2012-10-02-Abteilungsabend_037.jpg		no	0:00	0:05	0.000	5.000	5.000			2012:10:02 16:12:17			
2012-10-02-Abteilungsabend_001.jpg		no	0:05	0:10	5.000	10.000	5.000			2012:10:02 15:43:55			
2012-10-02-Abteilungsabend_002.jpg		no	0:10	0:15	10.000	15.000	5.000			2012:10:02 15:47:07			
2012-10-02-Abteilungsabend_003.jpg		no	0:15	0:20	15.000	20.000	5.000			2012:10:02 15:20:58			
2012-10-02-Abteilungsabend_004.jpg		no	0:20	0:25	20.000	25.000	5.000			2012:10:02 15:21:12			
2012-10-02-Abteilungsabend_005.jpg		no	0:25	0:30	25.000	30.000	5.000			2012:10:02 15:22:29			
2012-10-02-Abteilungsabend_006.jpg		no	0:30	0:35	30.000	35.000	5.000			2012:10:02 15:24:07			
2012-10-02-Abteilungsabend_007.jpg		no	0:35	0:40	35.000	40.000	5.000			2012:10:02 16:14:16			
2012-10-02-Abteilungsabend_008.jpg		no	0:40	0:45	40.000	45.000	5.000			2012:10:02 16:17:51			
2012-10-02-Abteilungsabend_009.jpg		no	0:45	0:50	45.000	50.000	5.000			2012:10:02 16:17:56			
2012-10-02-Abteilungsabend_010.jpg		no	0:50	0:55	50.000	55.000	5.000			2012:10:02 15:51:49			
2012-10-02-Abteilungsabend_011.jpg		no	0:55	1:00	55.000	60.000	5.000			2012:10:02 15:27:44			
2012-10-02-Abteilungsabend_012.jpg		no	1:00	1:05	60.000	65.000	5.000			2012:10:02 16:18:33			
2012-10-02-Abteilungsabend_013.jpg		no	1:05	1:10	65.000	70.000	5.000			2012:10:02 16:22:20			
2012-10-02-Abteilungsabend_014.jpg		no	1:10	1:15	70.000	75.000	5.000			2012:10:02 16:23:30			
2012-10-02-Abteilungsabend_015.jpg		no	1:15	1:20	75.000	80.000	5.000			2012:10:02 16:23:37			
2012-10-02-Abteilungsabend_016.jpg		no	1:20	1:25	80.000	85.000	5.000			2012:10:02 16:19:55			
2012-10-02-Abteilungsabend_017.jpg		no	1:25	1:30	85.000	90.000	5.000			2012:10:02 16:20:00			
2012-10-02-Abteilungsabend_018.jpg		no	1:30	1:35	90.000	95.000	5.000			2012:10:02 16:22:06			
2012-10-02-Abteilungsabend_019.jpg		no	1:35	1:40	95.000	100.000	5.000			2012:10:02 16:37:21			
2012-10-02-Abteilungsabend_020.jpg		no	1:40	1:45	100.000	105.000	5.000			2012:10:02 15:57:23			
