###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
000_2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_026.jpg		no	0:00	0:05	0.000	5.000	5.000			2013:06:12 16:30:18			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_001.jpg		no	0:05	0:10	5.000	10.000	5.000			2013:06:12 13:43:13			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_002.jpg		no	0:10	0:15	10.000	15.000	5.000			2013:06:12 13:43:47			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_003.jpg		no	0:15	0:20	15.000	20.000	5.000			2013:06:12 13:43:58			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_004.jpg		no	0:20	0:25	20.000	25.000	5.000			2013:06:12 14:01:22			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_005.jpg		no	0:25	0:30	25.000	30.000	5.000			2013:06:12 14:24:33			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_006.jpg		no	0:30	0:35	30.000	35.000	5.000			2013:06:12 14:25:11			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_007.jpg		no	0:35	0:40	35.000	40.000	5.000			2013:06:12 14:26:33			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_008.jpg		no	0:40	0:45	40.000	45.000	5.000			2013:06:12 14:28:03			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_009.jpg		no	0:45	0:50	45.000	50.000	5.000			2013:06:12 14:36:57			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_017.jpg		no	0:50	0:55	50.000	55.000	5.000			2013:06:12 15:52:45			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_018.jpg		no	0:55	1:00	55.000	60.000	5.000			2013:06:12 15:52:58			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_019.jpg		no	1:00	1:05	60.000	65.000	5.000			2013:06:12 15:55:40			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_020.jpg		no	1:05	1:10	65.000	70.000	5.000			2013:06:12 16:05:05			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_021.jpg		no	1:10	1:15	70.000	75.000	5.000			2013:06:12 16:10:07			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_022.jpg		no	1:15	1:20	75.000	80.000	5.000			2013:06:12 16:10:20			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_023.jpg		no	1:20	1:25	80.000	85.000	5.000			2013:06:12 16:12:36			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_024.jpg		no	1:25	1:30	85.000	90.000	5.000			2013:06:12 16:19:03			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_025.jpg		no	1:30	1:35	90.000	95.000	5.000			2013:06:12 16:19:51			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_026.jpg		no	1:35	1:40	95.000	100.000	5.000			2013:06:12 16:30:18			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_027.jpg		no	1:40	1:45	100.000	105.000	5.000			2013:06:12 16:30:29			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_028.jpg		no	1:45	1:50	105.000	110.000	5.000			2013:06:12 16:34:09			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_031.jpg		no	1:50	1:55	110.000	115.000	5.000			2013:06:12 16:57:00			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_032.jpg		no	1:55	2:00	115.000	120.000	5.000			2013:06:12 16:57:13			
2013-06-12-DankesEvent-Stadtrundgang-Stuttgart_033.jpg		no	2:00	2:05	120.000	125.000	5.000			2013:06:12 18:37:57			
